user_id,screen_name,description,follow_count,followers_count,gender,verified,verified_reason,profile_url,location
1749268063,占星妖妖,公众：zhanxing2017,28,6056297,f,True,知名情感博主,https://m.weibo.cn/u/1749268063?uid=1749268063&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,上海
1219795431,胡延平Future,Learner * Explorer * Connector...,1960,2326479,m,True,前 DCCI互联网数据中心创始人,https://m.weibo.cn/u/1219795431?uid=1219795431&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,其他
1840918185,科技Yu,性别男，爱好数码，没事发点东西。,1356,232060,m,True,知名数码博主 手机超话粉丝大咖 头条文章作者,https://m.weibo.cn/u/1840918185?uid=1840918185&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,其他
2400814017,科技的那些事,知名科技汽车博主 连续三年17、18、19年十大影响力数码大V～ QQ：2579349049,769,3604124,m,True,微博2019十大影响力数码大V,https://m.weibo.cn/u/2400814017?uid=2400814017&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,北京 朝阳区
3788429711,搞机的风采,一直在努力，期待美好事情来临,3531,133195,m,True,知名互联网资讯博主 微博故事原创作者 新鲜事作者 头条文章作者 微博签约自媒体,https://m.weibo.cn/u/3788429711?uid=3788429711&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,浙江
2376153500,环球资源CANDY_-_WU,,2127,1210,f,False,,https://m.weibo.cn/u/2376153500?uid=2376153500&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,上海 长宁区
2688556445,秀数码,微博商务合作联系方式请私信,793,169970,m,True,知名互联网资讯博主 数码视频自媒体,https://m.weibo.cn/u/2688556445?uid=2688556445&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,陕西 西安
1782998863,赵梓琛·,愛吾所愛，行吾所行，聽從吾心，無問西東。,1578,15947,m,True,数码博主 头条文章作者,https://m.weibo.cn/u/1782998863?uid=1782998863&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,天津
5609650132,闪飞,知道为什么叫闪飞吗？这个名字显瘦。,1062,156485,m,True,知名数码博主 头条文章作者,https://m.weibo.cn/u/5609650132?uid=5609650132&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,河南 郑州
1417975257,科技涅槃说,资深IT/数码评测达人，极客力量评测团队联合创始人,450,339044,m,True,知名数码博主 ZOL联盟“Z神通”成员，江西荣威350车友会会长 微博签约自媒体,https://m.weibo.cn/u/1417975257?uid=1417975257&luicode=10000011&lfid=100103type%3D1%26q%3DMate30,海外 其他
